Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
055_042_00020;53.89;0;-1.42;49.89;0;-2.13;48.89;0;-3.3;48.39;0;-3.3;47.39;0;-2.27;13.89;0;-1.49;-1;-1;-1;-1;-1;-1;10.39;0;-0.22;9.89;0;-0.12;7.39;0;-0.55;8.89;0;-0.15;-1;-1;-1;-1;-1;-1;6.32;0;-1.76;-1;-1;-1;-1;-1;-1;0;0;-2.31
055_042_00024;44.79;0;-1.85;22.29;0;-2.31;21.29;0;-3.33;18.79;0;-3.33;17.29;0;-2.24;16.29;0;-2.08;-1;-1;-1;-1;-1;-1;12.29;0;-0.37;11.29;0;-0.37;8.79;0;-1.098;10.79;0;-0.37;-1;-1;-1;-1;-1;-1;6.87;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
055_042_00025;38.51;0;-3.33;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26.51;0;-2.31;-1;-1;-1;-1;-1;-1;19.51;0;-0.29;19.01;0;-0.21;16.51;0;-1.067;18.51;0;-0.18;16.31;0;-1.25;14.91;0;-1.3;13.55;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
055_042_00026;50.11;0;-1.66;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;27.11;0;-1.34;-1;-1;-1;-1;-1;-1;19.61;0;-0.27;19.11;0;-0.19;16.61;0;-0.19;14.61;0;-0.15;13.43;0;-1.21;12.22;0;-1.2;10.56;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
055_042_00027;54.62;0;-1.65;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;42.62;0;-1.59;-1;-1;-1;-1;-1;-1;18.12;0;-0.4;17.62;0;-0.43;15.12;0;-0.36;14.12;0;-0.28;13.43;0;-1.21;12.22;0;-1.2;10.56;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
055_042_00028;55;0;-1.9;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;19.5;0;-1.84;-1;-1;-1;-1;-1;-1;14;0;-0.16;13.5;0;-0.16;11;0;-3.202;12.5;0;0.01;-1;-1;-1;-1;-1;-1;12.14;0;-3.2;-1;-1;-1;-1;-1;-1;0;0;-3.22
055_042_00029;45;0;-1.83;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;21;0;-1.52;18;0;-1.4;14.5;0;-1.38;10;0;-0.41;9.5;0;-0.31;7;0;-1.258;8.5;0;-0.43;-1;-1;-1;-1;-1;-1;6.2;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
055_042_00030;50.49;0;-3.2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38.79;0;-3.2;-1;-1;-1;-1;-1;-1;35.49;0;-0.14;31.49;0;-0.12;28.99;0;-0.24;17.99;0;-0.44;-1;-1;-1;-1;-1;-1;2.03;0;-3.71;-1;-1;-1;-1;-1;-1;0;0;-3.71
055_042_00031;88.16;0;-1.37;83.135;0;-2.296;82.16;0;-3.33;78.16;0;-3.33;77.214;0;-2.299;15.66;0;-1.63;-1;-1;-1;-1;-1;-1;11.66;0;-0.34;9.66;0;-0.18;7.16;0;-0.15;6.66;0;-0.3;5.79;0;-1.36;5.28;0;-1.42;3.99;0;-1.86;-1;-1;-1;-1;-1;-1;0;0;-1.86
055_042_00032;50.38;0;-3.33;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;29.38;0;-2.16;27.88;0;-1.65;14.88;0;-1.51;11.88;0;0.09;9.38;0;0.1;6.88;0;0.08;5.88;0;-0.02;-1;-1;-1;-1;-1;-1;3.82;0;-2.48;-1;-1;-1;-1;-1;-1;0;0;-2.48
055_042_00033;46.46;0;-3.33;19.375;0;-2.39;18.46;0;-3.33;18.26;0;-3.33;17.31;0;-2.365;16.96;0;-2.01;-1;-1;-1;-1;-1;-1;12.46;0;-0.22;11.96;0;-0.24;9.46;0;-0.47;9.96;0;-0.33;-1;-1;-1;-1;-1;-1;4.85;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3
055_042_00034;40;0;-1.93;19.809;0;-2.306;18.8;0;-3.33;18.6;0;-3.33;17.602;0;-2.236;17;0;-2.06;13;0;-0.72;12.5;0;-0.72;11.5;0;-0.26;10.5;0;-0.18;8;0;-1.719;9.5;0;-0.24;-1;-1;-1;-1;-1;-1;7.29;0;-2.08;-1;-1;-1;-1;-1;-1;0;0;-2.09
055_042_00035;32;0;-1.86;17.5;0;-1.75;15.3;0;-3.33;14.7;0;-3.33;13;0;-1.74;12.5;0;-1.5;-1;-1;-1;-1;-1;-1;10;0;-0.74;9.5;0;-0.51;7;0;-1.2;8.5;0;-0.67;-1;-1;-1;-1;-1;-1;7.25;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
055_042_00036;55;0;-1.37;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;44;0;-1.31;-1;-1;-1;-1;-1;-1;15.5;0;-0.29;14.5;0;-0.27;12;0;-0.19;10;0;-0.24;-1;-1;-1;-1;-1;-1;8;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
055_042_00037;47.4;0;-1.92;22.4;0;-2.31;21.4;0;-3.3;21.4;0;-3.3;20.4;0;-2.14;19.4;0;-1.81;-1;-1;-1;-1;-1;-1;16.4;0;-0.61;15.9;0;-0.68;13.4;0;-0.66;6.9;0;-0.26;-1;-1;-1;-1;-1;-1;6.32;0;-1.76;-1;-1;-1;-1;-1;-1;0;0;-2.31
055_042_00038;83.39;0;-3.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;74.39;0;-3.3;-1;-1;-1;-1;-1;-1;70.89;0;-1.45;19.39;0;-0.81;16.89;0;-0.79;7.39;0;-0.53;-1;-1;-1;-1;-1;-1;6.534;0;-1.339;-1;-1;-1;-1;-1;-1;0;0;-2.31
055_042_00039;42.29;0;-1.67;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;19.79;0;-1.63;-1;-1;-1;-1;-1;-1;12.79;0;-0.36;12.29;0;-0.36;9.79;0;-0.775;10.79;0;-0.35;-1;-1;-1;-1;-1;-1;6.87;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
055_042_00040;35.79;0;-3.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;26.99;0;-3.3;22.29;0;-0.9;18.29;0;-0.75;12.79;0;-0.37;12.29;0;-0.29;9.79;0;-0.741;11.29;0;-0.25;-1;-1;-1;-1;-1;-1;6.87;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
055_042_00041;44.79;0;-1.85;22.29;0;-2.31;21.29;0;-3.33;18.79;0;-3.33;17.29;0;-2.24;16.29;0;-2.08;-1;-1;-1;-1;-1;-1;12.29;0;-0.37;11.79;0;-0.33;9.29;0;-0.915;10.79;0;-0.37;-1;-1;-1;-1;-1;-1;6.87;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
063_042_00001;59.547;0;-2.316;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;0;-2.09;-1;-1;-1;-1;-1;-1;15.5;0;-0.479;14.5;0;-0.447;12;0;-0.657;13;0;-0.455;-1;-1;-1;-1;-1;-1;4.715;0;-2.04;-1;-1;-1;-1;-1;-1;0;0;-2.04
063_042_00003;57.5;0;-3.676;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40.5;0;-3.412;-1;-1;-1;-1;-1;-1;25;0;-0.297;24.5;0;-0.208;22;0;-0.363;21.5;0;-0.291;-1;-1;-1;-1;-1;-1;16;0;-1.51;-1;-1;-1;-1;-1;-1;0;0;-2.91
063_042_00004;57.5;0;-3.676;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38;0;-3.229;-1;-1;-1;-1;-1;-1;25;0;-0.297;24.5;0;-0.208;22;0;-0.363;23;0;-0.228;-1;-1;-1;-1;-1;-1;16;0;-1.51;-1;-1;-1;-1;-1;-1;0;0;-2.91
063_042_00005;58.315;0;-3.948;42.152;0;-4.075;41.377;0;-4.85;40.467;0;-4.85;39.815;0;-4.192;37.815;0;-3.65;-1;-1;-1;-1;-1;-1;20.815;0;-0.238;19.815;0;-0.189;17.315;0;-0.428;18.315;0;-0.204;-1;-1;-1;-1;-1;-1;8.342;0;-2.401;-1;-1;-1;-1;-1;-1;0;0;-2.801
074_042_00001;40.1;0;-1.24;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14.6;0;-1.3;12.1;0;-0.88;11.6;0;-0.88;9.6;0;-0.05;9.1;0;-0.01;6.6;0;-0.52;7.1;0;-0.14;-1;-1;-1;-1;-1;-1;4.05;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
074_042_00007;40.1;0;-2.12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17.397;0;-2.12;15.6;0;-1.63;12.6;0;-1.45;8.1;0;-0.07;7.6;0;0.07;5.1;0;-0.682;7.1;0;-0.12;-1;-1;-1;-1;-1;-1;3.5;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
074_042_00008;31.5;0;-1.24;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17;0;-1.03;-1;-1;-1;-1;-1;-1;13.5;0;-0.17;13;0;-0.12;10.5;0;-0.423;11.5;0;-0.17;-1;-1;-1;-1;-1;-1;5.7;0;-2.75;-1;-1;-1;-1;-1;-1;0;0;-3.4
074_042_00009;36.5;0;-2.27;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30.457;0;-2.27;28.988;0;-1.62;21.5;0;-1.13;18.37;0;-0.35;17.5;0;-0.04;15;0;-0.35;14.5;0;-0.46;-1;-1;-1;-1;-1;-1;7.4;0;-2.2;-1;-1;-1;-1;-1;-1;0;0;-2.284
074_042_00010;50.474;0;-2.27;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;47;0;-1.21;25.5;0;-0.59;17;0;-0.47;15.5;0;-0.16;15.5;0;-0.16;13;0;-0.16;12;0;-0.26;-1;-1;-1;-1;-1;-1;9.605;0;-1.242;-1;-1;-1;-1;-1;-1;0;0;-1.5
074_042_00011;36.938;0;-2.27;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;20.17;0;-1.528;-1;-1;-1;-1;-1;-1;11.938;0;-0.23;11.438;0;-0.14;8.938;0;-0.44;10.438;0;-0.12;-1;-1;-1;-1;-1;-1;1.56;0;-1.4;-1;-1;-1;-1;-1;-1;0;0;-1.614
074_042_00012;33.939;0;-2.12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.439;0;-1.17;-1;-1;-1;-1;-1;-1;12.439;0;-0.17;11.939;0;-0.16;9.439;0;-0.38;11.439;0;-0.17;-1;-1;-1;-1;-1;-1;1.976;0;-1;-1;-1;-1;-1;-1;-1;0;0;-1.006
074_042_00013;23;0;-2.27;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14.5;0;-1.1;-1;-1;-1;-1;-1;-1;8.5;0;-0.31;8;0;-0.29;5.5;0;-0.48;7;0;-0.24;6;0;-0.47;5.5;0;-0.48;4.367;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
074_042_00014;31.946;0;-2.27;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;13.446;0;-0.97;12.446;0;-0.42;11.946;0;-0.39;10.946;0;-0.05;10.446;0;-0.11;7.946;0;-0.36;10.446;0;-0.11;9.446;0;-0.37;7.946;0;-0.36;2.943;0;-1.68;-1;-1;-1;-1;-1;-1;0;0;-1.87
074_042_00015;29.5;0;2.24;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;22.5;0;-0.37;-1;-1;-1;-1;-1;-1;10;0;-0.05;9.5;0;0;7;0;-1.008;9.5;0;0;-1;-1;-1;-1;-1;-1;3.8;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3
074_042_00016;28;0;-1.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15.5;0;-1.38;-1;-1;-1;-1;-1;-1;10;0;-0.36;9;0;-0.22;6.5;0;-0.616;7.5;0;-0.29;-1;-1;-1;-1;-1;-1;2.5;0;-2.3;-1;-1;-1;-1;-1;-1;0;0;-2.3
074_042_00017;26;0;-1.11;19.13;0;-1.127;17.602;0;-2.37;16.541;0;-2.37;15.276;0;-1.338;13.5;0;-0.93;13;0;-0.69;10;0;-0.66;8;0;-0.11;7.5;0;-0.09;5;0;-0.807;6;0;-0.15;-1;-1;-1;-1;-1;-1;4.31;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
074_042_00018;40.1;0;-1.24;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14.1;0;-1.21;12.1;0;-0.88;11.6;0;-0.88;9.6;0;-0.05;8.6;0;-0.01;6.1;0;-0.491;7.6;0;-0.04;6.6;0;-0.52;6.15;0;-0.474;4.05;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
074_042_00019;40.1;0;-1.24;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;14.6;0;-1.3;12.1;0;-0.88;11.6;0;-0.88;9.6;0;-0.05;9.1;0;-0.01;6.6;0;-0.52;7.1;0;-0.14;-1;-1;-1;-1;-1;-1;4.05;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
081_042_00002;50.37;0;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24.329;0;-2;-1;-1;-1;-1;-1;-1;17.864;0;-0.217;17.364;0;-0.217;14.864;0;-0.256;15.364;0;-0.046;-1;-1;-1;-1;-1;-1;12.328;0;-1.848;-1;-1;-1;-1;-1;-1;0;0;-2.304
081_042_00003;77.689;0;-1.979;59.679;0;-2.027;58.076;0;-2.993;57.436;0;-2.993;55.689;0;-1.993;33.689;0;-1.613;-1;-1;-1;-1;-1;-1;29.689;0;-0.227;29.189;0;-0.182;26.689;0;-0.427;28.189;0;-0.158;-1;-1;-1;-1;-1;-1;16.78;0;-3.797;-1;-1;-1;-1;-1;-1;0;0;-3.797
081_042_00004;50.37;0;-2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;24.329;0;-2;-1;-1;-1;-1;-1;-1;17.864;0;-0.217;17.364;0;-0.217;14.864;0;-0.256;15.364;0;-0.046;-1;-1;-1;-1;-1;-1;12.328;0;-1.848;-1;-1;-1;-1;-1;-1;0;0;-2.304
104_042_00001;100;0;-2.002;38.008;0;-2.212;36.5;0;-2.9;35.492;0;-2.9;34.008;0;-1.802;34.008;0;-1.802;-1;-1;-1;-1;-1;-1;26.508;0;-0.272;25.508;0;-0.162;23.008;0;-0.342;23.508;0;-0.222;-1;-1;-1;-1;-1;-1;8.9;0;-4.3;-1;-1;-1;-1;-1;-1;0;0;-4.3
104_042_00002;100;0;-1.66;38;0;-1.44;35.8;0;-2.5;35;0;-2.5;31.5;0;-0.97;30;0;-0.96;-1;-1;-1;-1;-1;-1;25;0;-0.19;24;0;-0.1;21.5;0;-0.1;21.5;0;-0.1;-1;-1;-1;-1;-1;-1;7.77;0;-4.3;-1;-1;-1;-1;-1;-1;0;0;-4.3
104_042_00014;100;0;-1.66;37;0;-1.7;35.8;0;-2.5;35;0;-2.5;31.5;0;-0.97;30;0;-0.96;-1;-1;-1;-1;-1;-1;25;0;-0.19;24.5;0;-0.17;22;0;-0.06;21.5;0;-0.1;-1;-1;-1;-1;-1;-1;7.77;0;-4.3;-1;-1;-1;-1;-1;-1;0;0;-4.3
104_042_00015;68.989;0;-1.27;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;13;0;-0.92;-1;-1;-1;-1;-1;-1;11.5;0;-0.15;11;0;-0.08;8.5;0;-0.09;8.5;0;-0.09;-1;-1;-1;-1;-1;-1;2.98;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
104_042_00016;102.011;0;-1.69;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15;0;-1.61;-1;-1;-1;-1;-1;-1;8;0;-0.15;8;0;-0.15;5.5;0;-0.23;6;0;-0.08;-1;-1;-1;-1;-1;-1;4;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
104_042_00017;102.011;0;-1.69;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15;0;-1.61;-1;-1;-1;-1;-1;-1;8;0;-0.15;8;0;-0.15;5.5;0;-0.23;5.755;0;-0.14;-1;-1;-1;-1;-1;-1;4;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
104_042_00018;102.011;0;-1.69;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;15;0;-1.61;-1;-1;-1;-1;-1;-1;8;0;-0.15;8;0;-0.15;5.5;0;-0.23;6;0;-0.08;-1;-1;-1;-1;-1;-1;4;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
104_042_00019;100;0;-1.7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;12;0;-0.98;-1;-1;-1;-1;-1;-1;10;0;-0.18;9.5;0;-0.12;7;0;-0.61;8.5;0;-0.11;-1;-1;-1;-1;-1;-1;3.46;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8
104_042_00020;100;0;-1.36;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8.868;0;-0.837;-1;-1;-1;-1;-1;-1;6;0;-0.36;6;0;-0.36;3.5;0;-0.31;3;0;-0.33;-1;-1;-1;-1;-1;-1;1.5;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
104_042_00021;100;0;-1.36;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8.868;0;-0.837;-1;-1;-1;-1;-1;-1;6;0;-0.36;6;0;-0.36;3.5;0;-0.31;3;0;-0.33;-1;-1;-1;-1;-1;-1;1.5;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
104_042_00022;100;0;-1.36;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8.868;0;-0.837;-1;-1;-1;-1;-1;-1;6.5;0;-0.43;5;0;-0.35;2.5;0;-0.579;3;0;-0.33;-1;-1;-1;-1;-1;-1;1.5;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
104_042_00023;100;0;-1.36;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8.5;0;-0.82;-1;-1;-1;-1;-1;-1;6.5;0;-0.43;6.5;0;-0.43;4;0;-0.32;3;0;-0.33;-1;-1;-1;-1;-1;-1;1.5;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
104_042_00024;100;0;-1.36;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8.5;0;-0.82;-1;-1;-1;-1;-1;-1;6;0;-0.36;6;0;-0.36;3.5;0;-0.31;3;0;-0.33;-1;-1;-1;-1;-1;-1;1.5;0;-1.2;-1;-1;-1;-1;-1;-1;0;0;-1.2
104_042_00031;100;0;0.07;19;0;-0.24;16.3;0;-2.3;14.7;0;-2.3;12.5;0;-0.51;12.5;0;-0.51;-1;-1;-1;-1;-1;-1;10;0;0.45;10;0;0.45;7.5;0;0.43;6.5;0;0.28;-1;-1;-1;-1;-1;-1;0.66;0;-2.05;-1;-1;-1;-1;-1;-1;0;0;-2.05
104_042_00032;100;0;0.07;19;0;-0.24;16.3;0;-2.3;14.7;0;-2.3;12.5;0;-0.51;12.5;0;-0.51;-1;-1;-1;-1;-1;-1;10;0;0.45;10;0;0.45;7.5;0;0.43;6.5;0;0.28;-1;-1;-1;-1;-1;-1;0.66;0;-2.05;-1;-1;-1;-1;-1;-1;0;0;-2.05
104_042_00033;100;0;0.07;19;0;-0.24;16.3;0;-2.3;14.7;0;-2.3;12.5;0;-0.51;12.5;0;-0.51;-1;-1;-1;-1;-1;-1;10;0;0.45;10;0;0.45;7.5;0;0.43;6.5;0;0.28;-1;-1;-1;-1;-1;-1;0.66;0;-2.05;-1;-1;-1;-1;-1;-1;0;0;-2.05
104_042_00034;100;0;-2.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30;0;-1.47;-1;-1;-1;-1;-1;-1;25;0;-0.28;24;0;-0.25;21.5;0;-0.13;20;0;-0.18;-1;-1;-1;-1;-1;-1;7.55;0;-4.3;-1;-1;-1;-1;-1;-1;0;0;-4.3
144_042_00001;52.011;0;-4.336;49;0;-4.75;48.004;0;-5.839;47.34;0;-5.788;46;0;-4.7;46;0;-4.7;-1;-1;-1;-1;-1;-1;21.5;0;-0.24;20.5;0;-0.15;18;0;-0.15;16.5;0;-0.25;-1;-1;-1;-1;-1;-1;3.504;0;-3.84;-1;-1;-1;-1;-1;-1;0;0;-3.84
144_042_00002;70;0;-3.937;54.5;0;-4.2;52.506;0;-5.95;51.645;0;-5.95;50.5;0;-4.53;48;0;-4.2;-1;-1;-1;-1;-1;-1;19;0;-0.16;18.5;0;-0.07;16;0;-0.4;16.5;0;-0.24;-1;-1;-1;-1;-1;-1;3.843;0;-3.84;-1;-1;-1;-1;-1;-1;0;0;-3.84
144_042_00005;53;0;-3.441;50.5;0;-3.42;48.863;0;-5.05;48.06;0;-5.05;47;0;-3.63;46.5;0;-3.5;-1;-1;-1;-1;-1;-1;20.5;0;-0.33;19;0;-0.31;16.5;0;-0.28;10;0;-0.3;-1;-1;-1;-1;-1;-1;5.094;0;-2.34;-1;-1;-1;-1;-1;-1;0;0;-2.34
144_042_00006;57;0;-2.058;47.5;0;-1.87;44.152;0;-3.8;40.699;0;-3.8;38;0;-1.84;24.5;0;-1.33;-1;-1;-1;-1;-1;-1;20;0;0.03;19;0;0.04;16.5;0;0.07;12;0;0.13;-1;-1;-1;-1;-1;-1;7.633;0;-2.34;-1;-1;-1;-1;-1;-1;0;0;-2.34
144_042_00007;40;0;-2.38;37;0;-2.65;35.915;0;-4;34.715;0;-4;33.5;0;-2.8;26;0;-2.27;-1;-1;-1;-1;-1;-1;11;0;-1.03;10.5;0;-1.02;8;0;-1.02;8;0;-1.02;-1;-1;-1;-1;-1;-1;3.354;0;-2.95;-1;-1;-1;-1;-1;-1;0;0;-2.95
144_042_00017;60;0;-4.375;47;0;-4.35;45.46;0;-5.65;44.492;0;-5.65;44;0;-4.59;44;0;-4.59;-1;-1;-1;-1;-1;-1;19;0;-0.31;19;0;-0.31;16.5;0;-0.26;9.5;0;-0.23;-1;-1;-1;-1;-1;-1;6.69;0;-2.34;-1;-1;-1;-1;-1;-1;0;0;-2.34
144_042_00018;51;0;-4.564;39.5;0;-4.61;38.096;0;-5.95;36.768;0;-5.95;35;0;-4.65;31;0;-4.41;-1;-1;-1;-1;-1;-1;13;0;-0.98;12.5;0;-0.95;10;0;-1.08;9.5;0;-1.09;-1;-1;-1;-1;-1;-1;2.582;0;-3.95;-1;-1;-1;-1;-1;-1;0;0;-3.95
144_042_00019;45;0;-4.362;38.409;0;-4.86;37.759;0;-5.63;37.118;0;-5.63;36;0;-4.69;27;0;-4.1;-1;-1;-1;-1;-1;-1;18;0;-0.63;17;0;-0.59;14.5;0;-0.56;11.5;0;-0.56;-1;-1;-1;-1;-1;-1;3.109;0;-3.95;-1;-1;-1;-1;-1;-1;0;0;-3.95
144_042_00020;55;0;-4.651;46.5;0;-4.98;45.845;0;-5.95;44.727;0;-5.95;44;0;-4.99;28.5;0;-4.33;-1;-1;-1;-1;-1;-1;16.5;0;-1.11;15.5;0;-1.01;13;0;-0.95;9;0;-0.94;-1;-1;-1;-1;-1;-1;4.134;0;-3.304;-1;-1;-1;-1;-1;-1;0;0;-3.304
